# 12.5 MHz build (PL0=100, C_SCK_RATIO=8), internal loopback, 2026-06-04
device,requested_hz,driver_reported_hz,size_bytes,trials,min_ns,median_ns,max_ns,throughput_Mbps_1lane
/dev/spidev0.0,1000000,1000000,1,1000,22452,24403,57806,0.328
/dev/spidev0.0,1000000,1000000,4,1000,23342,28622,42214,1.118
/dev/spidev0.0,1000000,1000000,16,1000,23072,29853,43634,4.288
/dev/spidev0.0,1000000,1000000,64,1000,48565,51095,54925,10.021
/dev/spidev0.0,1000000,1000000,256,1000,138864,141565,156246,14.467
/dev/spidev0.0,1000000,1000000,1024,1000,505950,508791,521973,16.101
/dev/spidev0.0,1000000,1000000,4096,1000,1974318,1977268,1994920,16.572
/dev/spidev0.0,1000000,1000000,16384,1000,7844294,7847924,7861315,16.701
/dev/spidev0.0,1000000,1000000,65536,1000,31324350,31329561,31351332,16.735
/dev/spidev0.0,1000000,1000000,262144,1000,125261935,125272757,125376377,16.741
/dev/spidev0.0,1000000,1000000,1048576,1000,501544443,501573416,501730472,16.725
# 4194304: EMSGSIZE (spidev bufsiz, stock boot - not a hardware failure)
