# 25 MHz build (PL0=100, C_SCK_RATIO=4), internal loopback, 2026-06-04
device,requested_hz,driver_reported_hz,size_bytes,trials,min_ns,median_ns,max_ns,throughput_Mbps_1lane
/dev/spidev0.0,1000000,1000000,1,1000,22932,28353,69467,0.282
/dev/spidev0.0,1000000,1000000,4,1000,23563,28643,40444,1.117
/dev/spidev0.0,1000000,1000000,16,1000,23122,29303,44694,4.368
/dev/spidev0.0,1000000,1000000,64,1000,40134,42745,58595,11.978
/dev/spidev0.0,1000000,1000000,256,1000,106060,108821,120522,18.820
/dev/spidev0.0,1000000,1000000,1024,1000,374568,377448,392199,21.704
/dev/spidev0.0,1000000,1000000,4096,1000,1449285,1452565,1499090,22.559
/dev/spidev0.0,1000000,1000000,16384,1000,5747334,5750435,5763846,22.793
/dev/spidev0.0,1000000,1000000,65536,1000,22925251,22938482,22952203,22.856
/dev/spidev0.0,1000000,1000000,262144,1000,91690861,91699922,91923544,22.870
/dev/spidev0.0,1000000,1000000,1048576,1000,367299109,367339264,371229222,22.836
# 4194304: EMSGSIZE (spidev bufsiz, stock boot - not a hardware failure)
