# 50 MHz build (PL0=100, C_SCK_RATIO=2), PG153 spec ceiling, internal loopback, 2026-06-04
device,requested_hz,driver_reported_hz,size_bytes,trials,min_ns,median_ns,max_ns,throughput_Mbps_1lane
/dev/spidev0.0,1000000,1000000,1,1000,10531,10781,47464,0.742
/dev/spidev0.0,1000000,1000000,4,1000,11221,11451,21882,2.795
/dev/spidev0.0,1000000,1000000,16,1000,26233,26723,43665,4.790
/dev/spidev0.0,1000000,1000000,64,1000,36524,37054,57006,13.818
/dev/spidev0.0,1000000,1000000,256,1000,89549,92139,124252,22.227
/dev/spidev0.0,1000000,1000000,1024,1000,308991,311911,325823,26.264
/dev/spidev0.0,1000000,1000000,4096,1000,1187529,1190989,1203800,27.513
/dev/spidev0.0,1000000,1000000,16384,1000,4693639,4701890,4801089,27.876
/dev/spidev0.0,1000000,1000000,65536,1000,18739572,18743523,18804789,27.972
/dev/spidev0.0,1000000,1000000,262144,1000,74912675,74919336,74999454,27.992
/dev/spidev0.0,1000000,1000000,1048576,1000,300217847,300248170,300459981,27.939
# 4194304: EMSGSIZE (spidev bufsiz, stock boot - not a hardware failure)
