bytes,mio_avg_us,mio_Mbps,emio_avg_us,emio_Mbps,axi_avg_us,axi_Mbps,ps_avg_us,axi_avg_us,ps_over_axi_throughput,axi_implied_sck_MHz,axi_below_floor
1,39.33,0.203,38.47,0.208,23.89,0.335,38.47,23.89,1.61,0.335,
8,113.56,0.564,113.48,0.564,27.86,2.297,113.48,27.86,4.07,2.297,
16,197.61,0.648,198.00,0.646,31.91,4.011,198.00,31.91,6.20,4.011,
64,700.82,0.731,700.79,0.731,66.20,7.734,700.79,66.20,10.59,7.734,
128,1371.78,0.746,1371.74,0.746,111.83,9.157,1371.74,111.83,12.27,9.157,
256,2687.47,0.762,2687.33,0.762,203.41,10.068,2687.33,203.41,13.21,10.068,
512,5317.73,0.770,5317.95,0.770,389.03,10.529,5317.95,389.03,13.67,10.529,
1024,10577.99,0.774,10577.94,0.774,758.21,10.804,10577.94,758.21,13.95,10.804,
4096,42137.24,0.778,42137.21,0.778,2974.22,11.017,42137.21,2974.22,14.17,11.017,
16384,168371.13,0.778,168371.91,0.778,11836.25,11.074,168371.91,11836.25,14.23,11.074,
65536,673322.43,0.779,673310.45,0.779,47281.82,11.089,673310.45,47281.82,14.24,11.089,
